pass_id,sequence_index,observation_id,category,object_id,sample_index,description,model_x,model_y,registration_default,pixel_x,pixel_y,source_image,source_image_sha256,image_width_pixels,image_height_pixels
pass-03,70,moon_west_south_arc_05,moon_circumference,moon_west_south,5,Visible circumference sample 5/6 for west south Moon.,,,false,339.35492443562225,1087.4882704150996,data/working/figure12/city_of_revelation_page_065.png,4f9ab63b94ac4c1a2ce2fe5217c2cb0542a6df77e30eb1f272f5c6f2c3d650d6,1512,2327
pass-03,71,moon_west_south_arc_06,moon_circumference,moon_west_south,6,Visible circumference sample 6/6 for west south Moon.,,,false,248.99597456200343,1079.3661176174708,data/working/figure12/city_of_revelation_page_065.png,4f9ab63b94ac4c1a2ce2fe5217c2cb0542a6df77e30eb1f272f5c6f2c3d650d6,1512,2327
pass-03,72,moon_west_arc_01,moon_circumference,moon_west,1,Visible circumference sample 1/6 for west Moon.,,,false,169.80498478512413,831.64045728979693,data/working/figure12/city_of_revelation_page_065.png,4f9ab63b94ac4c1a2ce2fe5217c2cb0542a6df77e30eb1f272f5c6f2c3d650d6,1512,2327
pass-03,73,moon_west_arc_02,moon_circumference,moon_west,2,Visible circumference sample 2/6 for west Moon.,,,false,169.80498478512413,696.60966702922065,data/working/figure12/city_of_revelation_page_065.png,4f9ab63b94ac4c1a2ce2fe5217c2cb0542a6df77e30eb1f272f5c6f2c3d650d6,1512,2327
pass-03,74,moon_west_arc_03,moon_circumference,moon_west,3,Visible circumference sample 3/6 for west Moon.,,,false,219.55317067059957,658.02944124048452,data/working/figure12/city_of_revelation_page_065.png,4f9ab63b94ac4c1a2ce2fe5217c2cb0542a6df77e30eb1f272f5c6f2c3d650d6,1512,2327
pass-03,75,moon_west_arc_04,moon_circumference,moon_west,4,Visible circumference sample 4/6 for west Moon.,,,false,323.11061884036485,675.28901593544538,data/working/figure12/city_of_revelation_page_065.png,4f9ab63b94ac4c1a2ce2fe5217c2cb0542a6df77e30eb1f272f5c6f2c3d650d6,1512,2327
pass-03,76,moon_west_arc_05,moon_circumference,moon_west,5,Visible circumference sample 5/6 for west Moon.,,,false,347.47707723325084,819.45722809335393,data/working/figure12/city_of_revelation_page_065.png,4f9ab63b94ac4c1a2ce2fe5217c2cb0542a6df77e30eb1f272f5c6f2c3d650d6,1512,2327
pass-03,77,moon_west_arc_06,moon_circumference,moon_west,6,Visible circumference sample 6/6 for west Moon.,,,false,299.75942954718266,865.14433758001519,data/working/figure12/city_of_revelation_page_065.png,4f9ab63b94ac4c1a2ce2fe5217c2cb0542a6df77e30eb1f272f5c6f2c3d650d6,1512,2327
pass-03,78,moon_west_north_arc_01,moon_circumference,moon_west_north,1,Visible circumference sample 1/6 for west north Moon.,,,false,254.07232006052141,632.64771374789495,data/working/figure12/city_of_revelation_page_065.png,4f9ab63b94ac4c1a2ce2fe5217c2cb0542a6df77e30eb1f272f5c6f2c3d650d6,1512,2327
pass-03,79,moon_west_north_arc_02,moon_circumference,moon_west_north,2,Visible circumference sample 2/6 for west north Moon.,,,false,206.354672374453,570.71629866597652,data/working/figure12/city_of_revelation_page_065.png,4f9ab63b94ac4c1a2ce2fe5217c2cb0542a6df77e30eb1f272f5c6f2c3d650d6,1512,2327
pass-03,80,moon_west_north_arc_03,moon_circumference,moon_west_north,3,Visible circumference sample 3/6 for west north Moon.,,,false,308.89685144451482,431.62443200658583,data/working/figure12/city_of_revelation_page_065.png,4f9ab63b94ac4c1a2ce2fe5217c2cb0542a6df77e30eb1f272f5c6f2c3d650d6,1512,2327
pass-03,81,moon_west_north_arc_04,moon_circumference,moon_west_north,4,Visible circumference sample 4/6 for west north Moon.,,,false,407.37795411576212,492.54057798880081,data/working/figure12/city_of_revelation_page_065.png,4f9ab63b94ac4c1a2ce2fe5217c2cb0542a6df77e30eb1f272f5c6f2c3d650d6,1512,2327
